lat,lng,api_data
35.7,51.4167,Radius=15000&SortBy=1&latitude=35.7&longitude=51.4167&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.3069,59.6042,Radius=15000&SortBy=1&latitude=36.3069&longitude=59.6042&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.6447,51.6675,Radius=15000&SortBy=1&latitude=32.6447&longitude=51.6675&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.8327,50.9915,Radius=15000&SortBy=1&latitude=35.8327&longitude=50.9915&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.0833,46.2833,Radius=15000&SortBy=1&latitude=38.0833&longitude=46.2833&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.61,52.5425,Radius=15000&SortBy=1&latitude=29.61&longitude=52.5425&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.6461,50.8789,Radius=15000&SortBy=1&latitude=34.6461&longitude=50.8789&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.3203,48.6692,Radius=15000&SortBy=1&latitude=31.3203&longitude=48.6692&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.3167,47.0686,Radius=15000&SortBy=1&latitude=34.3167&longitude=47.0686&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.5486,45.0675,Radius=15000&SortBy=1&latitude=37.5486&longitude=45.0675&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.2833,49.6,Radius=15000&SortBy=1&latitude=37.2833&longitude=49.6&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.2833,57.0667,Radius=15000&SortBy=1&latitude=30.2833&longitude=57.0667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.4833,60.8667,Radius=15000&SortBy=1&latitude=29.4833&longitude=60.8667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.5333,51.2,Radius=15000&SortBy=1&latitude=35.5333&longitude=51.2&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.8065,48.5162,Radius=15000&SortBy=1&latitude=34.8065&longitude=48.5162&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
